Field Year,Original sample no,Feature,Period,Feature Type,Light fraction wt.,Charcoal (g),Vol,Total Seed no,Total Seed Density,Millets,Luxury cereal,Bean,Millet %,LC %,Bean %,Foxtail millet,Broomcorn millet,Rice,Wheat,Barley,Beefsteak plant,soybean,azuki,Greenfoxtail,Other Setaria,Panic grass,Panic/manna,Echinocloa,Paniceae,Other grass,Kummerowia sp.,Lespedeza or Melilotus sp.,OtherWild  bean,Chenopod,Knotweed,Sorrel,Mosla,Mustard,Nightshade,Perslane,"Spurge, Borage",Hydrocharitaceae,Gailum sp.,viola sp.,Eleusine,Fimbristylis sp.,Burlush,Sedge,Bramble,Plum,hackberry,Chinese date,berry,grape,other rose family,Unknown seed,Nut,Tuber,Other vegetative,04 mm Done %,0.2mm Done %
2002,357,T103 F1 layer 9,Erlitou,House,,0.07,6,81,13.50,43,1,0,53%,1%,0%,41,2,1,,,,,,,8,,,1,24,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2002,146,T101 J1,Erlitou,Hearth,,,6,40,6.67,13,0,2,33%,0%,5%,13,,,,,,,,,10,1,,,13,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,320,T104 H16,Erlitou,Ash pit,,,9,25,2.78,9,0,2,36%,0%,8%,9,,,,,,2,,,,3,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2002,179,Ter1 Pit14,Erlitou,Ash pit,,0.10,4,5,1.25,0,0,0,0%,0%,0%,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,180,Ter1 Unit31 Pit17,Erlitou,Ash pit,,0.16,5,4,0.80,2,1,0,50%,25%,0%,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,182,Ter2 TP1 Unit38 Con11 Pro2 Spit27,Erlitou,Ash pit,,,2,26,13.00,4,0,4,15%,0%,15%,4,,,,,,4,,,3,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,
2002,183,Ter2 TP1 Unit38 Con6 Spit1,Erlitou,Ash pit,,0.87,12,38,3.17,11,0,13,29%,0%,34%,11,,,,,,8,,,1,,,,3,,,,5,3,,,,,,,,,,,,,,,,,,,,,,7,,,,,
2002,187,TEr1 Cont12,Erlitou,Ash pit,,0.20,8,35,4.38,12,0,0,34%,0%,0%,12,,,,,,,,,3,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
2002,191,TEr1 Pit13,Erlitou,Ash pit,,0.98,8,59,7.38,20,1,1,34%,2%,2%,19,1,1,,,,,,,1,,,,13,2,,,1,9,,,,,,,,,,,,,,,,,,,,,,12,,,,,
2002,193,Ter1 Unit11A Pit4,Erlitou,Ash pit,,0.08,5,89,17.80,32,3,3,36%,3%,3%,6,26,3,,,,,,,7,19,,,16,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,7,,,,,
